timestamp,sender_id,event,source,queue_length
292.144868515,camera0,sample_received,live,48
292.148368584,camera1,sample_received,live,47
292.17361835,camera2,sample_received,live,47
292.18992566,camera1,sample_received,live,48
292.19075281,camera0,sample_received,live,49
292.21988903,camera2,sample_received,live,48
292.234995528,camera0,sample_received,live,50
292.236527809,camera1,sample_received,live,49
292.268278378,camera2,sample_received,live,49
292.280056399,camera1,sample_received,live,50
292.280798019,camera0,sample_received,live,51
292.313703142,camera2,sample_received,live,50
292.324772505,camera1,sample_received,live,51
292.32550087,camera0,sample_received,live,52
292.359545458,camera2,sample_received,live,51
292.369957489,camera0,sample_received,live,53
292.370706303,camera1,sample_received,live,52
292.404527171,camera2,sample_received,live,52
292.414460375,camera1,sample_received,live,53
292.415325316,camera0,sample_received,live,54
292.451584244,camera2,sample_received,live,53
292.460489823,camera1,sample_received,live,54
292.461360204,camera0,sample_received,live,55
292.497678402,camera2,sample_received,live,54
292.506505433,camera1,sample_received,live,55
292.507350567,camera0,sample_received,live,56
292.543897995,camera2,sample_received,live,55
292.551151517,camera1,sample_received,live,56
292.552052376,camera0,sample_received,live,57
292.590918238,camera2,sample_received,live,56
292.595269933,camera1,sample_received,live,57
292.596055766,camera0,sample_received,live,58
292.641385291,camera2,sample_received,live,57
292.644367209,camera1,sample_received,live,58
292.649316142,camera0,sample_received,live,59
292.687288982,camera2,sample_received,live,58
292.690067979,camera1,sample_received,live,59
292.69102375,camera0,sample_received,live,60
292.734159414,camera1,sample_received,live,60
292.737180566,camera2,sample_received,live,59
292.738053462,camera0,sample_received,live,61
292.77918479,camera1,sample_received,live,61
292.782021736,camera2,sample_received,live,60
292.782812217,camera0,sample_received,live,62
292.823118038,camera1,sample_received,live,62
292.826269795,camera2,sample_received,live,61
292.828270163,camera0,sample_received,live,63
292.869181048,camera1,sample_received,live,63
292.871311711,camera2,sample_received,live,62
292.875063782,camera0,sample_received,live,64
292.9156353,camera1,sample_received,live,64
292.916710596,camera2,sample_received,live,63
292.920149359,camera0,sample_received,live,65
292.960581559,camera1,sample_received,live,65
292.962798393,camera2,sample_received,live,64
292.964816796,camera0,sample_received,live,66
293.004814725,camera1,sample_received,live,66
293.00869671,camera2,sample_received,live,65
293.010258176,camera0,sample_received,live,67
293.049632706,camera1,sample_received,live,67
293.053479906,camera2,sample_received,live,66
293.054781515,camera0,sample_received,live,68
293.095168493,camera1,sample_received,live,68
293.09878995,camera2,sample_received,live,67
293.100536472,camera0,sample_received,live,69
293.143074832,camera1,sample_received,live,69
293.144574613,camera2,sample_received,live,68
293.14915104,camera0,sample_received,live,70
293.187565581,camera1,sample_received,live,70
293.189137006,camera2,sample_received,live,69
293.194154639,camera0,sample_received,live,71
293.232307329,camera1,sample_received,live,71
293.23733959,camera2,sample_received,live,70
293.240244164,camera0,sample_received,live,72
293.279202754,camera1,sample_received,live,72
293.282314205,camera2,sample_received,live,71
293.292352378,camera0,sample_received,live,73
293.324300921,camera1,sample_received,live,73
293.329272328,camera2,sample_received,live,72
293.335112693,camera0,sample_received,live,74
293.374240401,camera1,sample_received,live,74
293.377165322,camera2,sample_received,live,73
293.384953908,camera0,sample_received,live,75
293.418718004,camera1,sample_received,live,75
293.422341024,camera2,sample_received,live,74
293.431376387,camera0,sample_received,live,76
293.463506812,camera1,sample_received,live,76
293.465986328,camera2,sample_received,live,75
293.475113573,camera0,sample_received,live,77
293.508469785,camera1,sample_received,live,77
293.512023595,camera2,sample_received,live,76
293.520397918,camera0,sample_received,live,78
293.553149036,camera1,sample_received,live,78
293.55687535,camera2,sample_received,live,77
293.56747834,camera0,sample_received,live,79
293.599897956,camera1,sample_received,live,79
293.60114333,camera2,sample_received,live,78
293.613990898,camera0,sample_received,live,80
293.644741085,camera1,sample_received,live,80
293.645941856,camera2,sample_received,live,79
293.6591507,camera0,sample_received,live,81
293.688857061,camera1,sample_received,live,81
293.690573488,camera2,sample_received,live,80
293.704526627,camera0,sample_received,live,82
293.733912177,camera1,sample_received,live,82
293.736526927,camera2,sample_received,live,81
293.751294693,camera0,sample_received,live,83
293.779081076,camera1,sample_received,live,83
293.780778618,camera2,sample_received,live,82
293.796581623,camera0,sample_received,live,84
293.824341367,camera1,sample_received,live,84
293.825327705,camera2,sample_received,live,83
293.842881482,camera0,sample_received,live,85
293.869833341,camera1,sample_received,live,85
293.870741474,camera2,sample_received,live,84
293.890806637,camera0,sample_received,live,86
293.918456375,camera1,sample_received,live,86
293.92165072,camera2,sample_received,live,85
293.936539403,camera0,sample_received,live,87
293.96331831,camera1,sample_received,live,87
293.964253222,camera2,sample_received,live,86
293.983147192,camera0,sample_received,live,88
294.008283452,camera1,sample_received,live,88
294.011355299,camera2,sample_received,live,87
294.030290587,camera0,sample_received,live,89
294.055509613,camera2,sample_received,live,88
294.064129227,camera1,sample_received,live,89
294.076565454,camera0,sample_received,live,90
294.098580635,camera2,sample_received,live,89
294.106446496,camera1,sample_received,live,90
294.123085,camera0,sample_received,live,91
294.144961531,camera2,sample_received,live,90
294.151293247,camera1,sample_received,live,91
294.170070619,camera0,sample_received,live,92
294.192321591,camera2,sample_received,live,91
294.196549345,camera1,sample_received,live,92
294.214560912,camera0,sample_received,live,93
294.237943635,camera2,sample_received,live,92
294.241322438,camera1,sample_received,live,93
294.261825904,camera0,sample_received,live,94
294.285912737,camera2,sample_received,live,93
294.286778139,camera1,sample_received,live,94
294.306692763,camera0,sample_received,live,95
294.329761858,camera1,sample_received,live,95
294.332171093,camera2,sample_received,live,94
294.352888372,camera0,sample_received,live,96
294.374867273,camera1,sample_received,live,96
294.377053992,camera2,sample_received,live,95
294.401968375,camera0,sample_received,live,97
294.41959968,camera1,sample_received,live,97
294.423399652,camera2,sample_received,live,96
294.446132166,camera0,sample_received,live,98
294.463959437,camera1,sample_received,live,98
294.468052429,camera2,sample_received,live,97
294.492491421,camera0,sample_received,live,99
294.509103105,camera1,sample_received,live,99
294.513751326,camera2,sample_received,live,98
294.539152823,camera0,sample_received,live,100
294.560819981,camera1,sample_received,live,100
294.561609861,camera2,sample_received,live,99
294.588301576,camera0,sample_received,live,101
294.600233509,camera1,sample_received,live,101
294.606948513,camera2,sample_received,live,100
294.634194287,camera0,sample_received,live,102
294.646534726,camera1,sample_received,live,102
294.654730916,camera2,sample_received,live,101
294.682218283,camera0,sample_received,live,103
294.693360495,camera1,sample_received,live,103
294.700247913,camera2,sample_received,live,102
294.726966238,camera0,sample_received,live,104
294.738716239,camera1,sample_received,live,104
294.74411646,camera2,sample_received,live,103
294.77306255,camera0,sample_received,live,105
294.783049007,camera1,sample_received,live,105
294.789833853,camera2,sample_received,live,104
294.818204804,camera0,sample_received,live,106
294.827800348,camera1,sample_received,live,106
294.837254537,camera2,sample_received,live,105
294.865778265,camera0,sample_received,live,107
294.872937002,camera1,sample_received,live,107
294.883961554,camera2,sample_received,live,106
294.910976254,camera0,sample_received,live,108
294.916864179,camera1,sample_received,live,108
294.929341474,camera2,sample_received,live,107
294.956486499,camera0,sample_received,live,109
294.963826406,camera1,sample_received,live,109
294.9755614,camera2,sample_received,live,108
295.00227004,camera0,sample_received,live,110
295.007966227,camera1,sample_received,live,110
295.022419526,camera2,sample_received,live,109
295.047292946,camera0,sample_received,live,111
295.052315019,camera1,sample_received,live,111
295.069893827,camera2,sample_received,live,110
295.0950998,camera0,sample_received,live,112
295.098310026,camera1,sample_received,live,112
295.116988315,camera2,sample_received,live,111
295.140942101,camera0,sample_received,live,113
295.141717895,camera1,sample_received,live,113
295.163488139,camera2,sample_received,live,112
295.191717708,camera1,sample_received,live,114
295.19252419,camera0,sample_received,live,114
295.210729812,camera2,sample_received,live,113
295.234163213,camera1,sample_received,live,115
295.237040667,camera0,sample_received,live,115
295.26190011,camera2,sample_received,live,114
295.279162665,camera1,sample_received,live,116
295.279901239,camera0,sample_received,live,116
295.316566942,camera2,sample_received,live,115
295.325079076,camera1,sample_received,live,117
295.327900033,camera0,sample_received,live,117
295.36231704,camera2,sample_received,live,116
295.368015271,camera1,sample_received,live,118
295.371837294,camera0,sample_received,live,118
295.411342318,camera2,sample_received,live,117
295.413425693,camera1,sample_received,live,119
295.416836805,camera0,sample_received,live,119
295.457317809,camera2,sample_received,live,118
295.458623385,camera1,sample_received,live,120
295.463969235,camera0,sample_received,live,120
295.502667647,camera1,sample_received,live,121
295.503481783,camera2,sample_received,live,119
295.509518688,camera0,sample_received,live,121
295.546886585,camera1,sample_received,live,122
295.551137233,camera2,sample_received,live,120
295.555321154,camera0,sample_received,live,122
295.590629913,camera1,sample_received,live,123
295.595627029,camera2,sample_received,live,121
295.601166792,camera0,sample_received,live,123
295.636522899,camera1,sample_received,live,124
295.641983103,camera2,sample_received,live,122
295.646960954,camera0,sample_received,live,124
295.683274615,camera1,sample_received,live,125
295.688059874,camera2,sample_received,live,123
295.693499089,camera0,sample_received,live,125
295.72827555,camera1,sample_received,live,126
295.734977201,camera2,sample_received,live,124
295.739578656,camera0,sample_received,live,126
295.773934367,camera1,sample_received,live,127
295.782461791,camera2,sample_received,live,125
295.78514548,camera0,sample_received,live,127
295.817950065,camera1,sample_received,live,128
295.828434126,camera2,sample_received,live,126
295.829658701,camera0,sample_received,live,128
295.869157082,camera1,sample_received,live,129
295.87418725,camera2,sample_received,live,127
295.874989112,camera0,sample_received,live,129
295.913641889,camera1,sample_received,live,130
295.921533029,camera0,sample_received,live,130
295.924797046,camera2,sample_received,live,128
295.956295474,camera1,sample_received,live,131
295.972380945,camera2,sample_received,live,129
295.975648549,camera0,sample_received,live,131
296.005489724,camera1,sample_received,live,132
296.01525113,camera0,sample_received,live,132
296.019304127,camera2,sample_received,live,130
296.051109473,camera1,sample_received,live,133
296.062105233,camera2,sample_received,live,131
296.065020157,camera0,sample_received,live,133
296.094756755,camera1,sample_received,live,134
296.111495811,camera0,sample_received,live,134
296.112623805,camera2,sample_received,live,132
296.142344604,camera1,sample_received,live,135
296.157706187,camera0,sample_received,live,135
296.158904773,camera2,sample_received,live,133
296.186822853,camera1,sample_received,live,136
296.204589284,camera0,sample_received,live,136
296.205467921,camera2,sample_received,live,134
296.23119838,camera1,sample_received,live,137
296.249381732,camera0,sample_received,live,137
296.250082106,camera2,sample_received,live,135
296.276426856,camera1,sample_received,live,138
296.297357628,camera0,sample_received,live,138
296.298619584,camera2,sample_received,live,136
296.324740664,camera1,sample_received,live,139
296.345026919,camera0,sample_received,live,139
296.346221669,camera2,sample_received,live,137
296.36966433,camera1,sample_received,live,140
296.390609549,camera0,sample_received,live,140
296.391584736,camera2,sample_received,live,138
296.414677612,camera1,sample_received,live,141
296.437777971,camera2,sample_received,live,139
