round,seq_num,is_outage,folder,crop_index,label,send_timestamp
47,143549,0,normal,349,0,1782360354.5668638
47,143550,0,normal,2410,0,1782360354.5688689
47,143551,0,normal,3505,0,1782360354.570863
47,143552,0,normal,2491,0,1782360354.5728662
47,143553,0,normal,2467,0,1782360354.5748284
47,143554,0,normal,2735,0,1782360354.5770018
47,143555,0,normal,479,0,1782360354.5789516
47,143556,0,normal,3120,1,1782360354.580895
47,143557,0,normal,2078,0,1782360354.5828297
47,143558,0,normal,2196,0,1782360354.584953
47,143559,0,normal,404,0,1782360354.587022
47,143560,0,normal,1029,2,1782360354.588897
47,143561,0,normal,1440,0,1782360354.5908914
47,143562,0,normal,469,0,1782360354.5928576
47,143563,0,normal,1830,0,1782360354.594867
47,143564,0,normal,834,2,1782360354.5968926
47,143565,0,normal,100,0,1782360354.5988598
47,143566,0,normal,200,0,1782360354.600878
47,143567,0,normal,1602,0,1782360354.6030784
47,143568,0,normal,651,0,1782360354.6048195
47,143569,0,normal,2742,0,1782360354.606812
47,143570,0,normal,56,0,1782360354.6088243
47,143571,0,normal,490,0,1782360354.6108549
47,143572,0,normal,1176,0,1782360354.6128187
47,143573,0,normal,752,0,1782360354.614812
47,143574,0,normal,3606,0,1782360354.6168194
47,143575,0,normal,2575,0,1782360354.6188123
47,143576,0,normal,1691,0,1782360354.6208673
47,143577,0,normal,1044,0,1782360354.6228817
47,143578,0,normal,1955,0,1782360354.6248484
47,143579,0,normal,637,0,1782360354.626872
47,143580,0,normal,1582,0,1782360354.6288552
47,143581,0,normal,1846,0,1782360354.630868
47,143582,0,normal,3510,0,1782360354.6328735
47,143583,0,normal,3560,0,1782360354.6348455
47,143584,0,normal,2258,0,1782360354.6369557
47,143585,0,normal,381,0,1782360354.638893
47,143586,0,normal,579,0,1782360354.6409092
47,143587,0,normal,1570,0,1782360354.6428485
47,143588,0,normal,275,0,1782360354.6448193
47,143589,0,normal,1333,1,1782360354.646813
47,143590,0,normal,648,0,1782360354.6488137
47,143591,0,normal,1689,0,1782360354.6508214
47,143592,0,normal,1524,0,1782360354.6528845
47,143593,0,normal,2755,0,1782360354.6548023
47,143594,0,normal,2790,0,1782360354.6568136
47,143595,0,normal,3194,1,1782360354.6588163
47,143596,0,normal,3041,0,1782360354.6608007
47,143597,0,normal,1001,2,1782360354.6629062
47,143598,0,normal,1018,2,1782360354.6650627
47,143599,0,normal,619,0,1782360354.6671243
47,143600,0,normal,172,0,1782360354.6688983
47,143601,0,normal,3093,1,1782360354.6708643
47,143602,0,normal,144,0,1782360354.672858
47,143603,0,normal,68,0,1782360354.6748495
47,143604,0,normal,1705,0,1782360354.676833
47,143605,0,normal,1140,0,1782360354.6788504
47,143606,0,normal,1368,1,1782360354.6809628
47,143607,0,normal,1160,0,1782360354.6829777
47,143608,0,normal,1499,0,1782360354.6848269
47,143609,0,normal,1419,0,1782360354.6868095
47,143610,0,normal,2051,0,1782360354.6888072
47,143611,0,normal,1963,0,1782360354.6908042
47,143612,0,normal,2855,0,1782360354.692838
47,143613,0,normal,2679,0,1782360354.6948426
47,143614,0,normal,2475,0,1782360354.6968186
47,143615,0,normal,2945,0,1782360354.6988218
47,143616,0,normal,1490,0,1782360354.7008212
47,143617,0,normal,3382,1,1782360354.7028167
47,143618,0,normal,669,0,1782360354.7051084
47,143619,0,normal,2747,0,1782360354.7073708
47,143620,0,normal,816,2,1782360354.7099144
47,143621,0,normal,2105,0,1782360354.7111502
47,143622,0,normal,3080,1,1782360354.712883
47,143623,0,normal,2906,0,1782360354.7149289
47,143624,0,normal,2152,0,1782360354.716856
47,143625,0,normal,2789,0,1782360354.718967
47,143626,0,normal,2110,0,1782360354.7208803
47,143627,0,normal,483,0,1782360354.7230551
47,143628,0,normal,3104,1,1782360354.72505
47,143629,0,normal,2082,0,1782360354.726961
47,143630,0,normal,1717,0,1782360354.7288585
47,143631,0,normal,2371,0,1782360354.7310514
47,143632,0,normal,491,0,1782360354.733084
47,143633,0,normal,3344,1,1782360354.7348733
47,143634,0,normal,145,0,1782360354.7369242
47,143635,0,normal,63,0,1782360354.7388396
47,143636,0,normal,1096,0,1782360354.7409384
47,143637,0,normal,2433,0,1782360354.7429497
47,143638,0,normal,2844,0,1782360354.7448542
47,143639,0,normal,2649,0,1782360354.7470276
47,143640,0,normal,2761,0,1782360354.748907
47,143641,0,normal,2731,0,1782360354.7509332
47,143642,0,normal,1486,0,1782360354.7529738
47,143643,0,normal,3421,0,1782360354.7549076
47,143644,0,normal,2573,0,1782360354.7569542
47,143645,0,normal,3542,0,1782360354.7589173
47,143646,0,normal,1580,0,1782360354.7609782
47,143647,0,normal,1933,0,1782360354.7628403
47,143648,0,normal,1211,0,1782360354.7651155
47,143649,0,normal,103,0,1782360354.766952
47,143650,0,normal,2611,0,1782360354.7689378
47,143651,0,normal,1561,0,1782360354.770874
47,143652,0,normal,3460,0,1782360354.7729964
47,143653,0,normal,3218,1,1782360354.7749758
47,143654,0,normal,2647,0,1782360354.7769208
47,143655,0,normal,2653,0,1782360354.7789788
47,143656,0,normal,3666,0,1782360354.78088
47,143657,0,normal,3438,0,1782360354.7829752
47,143658,0,normal,2639,0,1782360354.7848856
47,143659,0,normal,1438,0,1782360354.7869613
47,143660,0,normal,2136,0,1782360354.7891028
47,143661,0,normal,1424,0,1782360354.7908628
47,143662,0,normal,2567,0,1782360354.792938
47,143663,0,normal,1925,0,1782360354.794889
47,143664,0,normal,1051,0,1782360354.7969573
47,143665,0,normal,1816,0,1782360354.7988513
47,143666,0,normal,2301,0,1782360354.8009431
47,143667,0,normal,402,0,1782360354.802942
47,143668,0,normal,594,0,1782360354.8048527
47,143669,0,normal,2941,0,1782360354.8069806
47,143670,0,normal,1965,0,1782360354.8088589
47,143671,0,normal,780,2,1782360354.810958
47,143672,0,normal,2788,0,1782360354.8128767
47,143673,0,normal,135,0,1782360354.8149695
47,143674,0,normal,240,0,1782360354.8168828
47,143675,0,normal,1086,0,1782360354.8189785
47,143676,0,normal,585,0,1782360354.8209484
47,143677,0,normal,2125,0,1782360354.822952
47,143678,0,normal,1892,0,1782360354.8248138
47,143679,0,normal,2661,0,1782360354.82686
47,143680,0,normal,1552,0,1782360354.828817
47,143681,0,normal,2787,0,1782360354.8308387
47,143682,0,normal,1000,2,1782360354.8328047
47,143683,0,normal,2763,0,1782360354.8348129
47,143684,0,normal,811,2,1782360354.8368888
47,143685,0,normal,868,2,1782360354.8388138
47,143686,0,normal,3648,0,1782360354.8408089
47,143687,0,normal,1081,0,1782360354.8428288
47,143688,0,normal,3245,1,1782360354.8448286
47,143689,0,normal,1516,0,1782360354.846846
47,143690,0,normal,85,0,1782360354.848831
47,143691,0,normal,2190,0,1782360354.8508494
47,143692,0,normal,3068,1,1782360354.8528428
47,143693,0,normal,812,2,1782360354.854834
47,143694,0,normal,2631,0,1782360354.8568392
47,143695,0,normal,1079,0,1782360354.8588138
47,143696,0,normal,450,0,1782360354.8608816
47,143697,0,normal,2072,0,1782360354.8628159
47,143698,0,normal,749,0,1782360354.8648033
47,143699,0,normal,3323,1,1782360354.8668168
47,143700,0,normal,3155,1,1782360354.8688228
47,143701,0,normal,1358,1,1782360354.870803
47,143702,0,normal,709,0,1782360354.8728547
47,143703,0,normal,2800,0,1782360354.8748262
47,143704,0,normal,3064,1,1782360354.8768072
47,143705,0,normal,697,0,1782360354.8788047
47,143706,0,normal,3334,1,1782360354.8809834
47,143707,0,normal,2213,0,1782360354.8828423
47,143708,0,normal,3370,1,1782360354.8848112
47,143709,0,normal,288,0,1782360354.886903
47,143710,0,normal,3131,1,1782360354.888833
47,143711,0,normal,2540,0,1782360354.8908744
47,143712,0,normal,767,0,1782360354.8928194
47,143713,0,normal,162,0,1782360354.8948658
47,143714,0,normal,846,2,1782360354.8968656
47,143715,0,normal,794,2,1782360354.8988237
47,143716,0,normal,1821,0,1782360354.9008179
47,143717,0,normal,881,2,1782360354.902845
47,143718,0,normal,641,0,1782360354.9048603
47,143719,0,normal,660,0,1782360354.9068208
47,143720,0,normal,2912,0,1782360354.9088202
47,143721,0,normal,996,2,1782360354.9108143
