scenario,round,edge_id,sensor_id,outage_active,live_samples,fallback_samples,samples_received,queue_fill_seconds,queue_fill_complete
outage_replay_wgan,6,edge2,intersection_16,False,16,0,16,0.06022933777421712,True
outage_replay_wgan,6,edge2,intersection_17,False,16,0,16,0.16484773135744035,True
outage_replay_wgan,6,edge2,intersection_18,False,16,0,16,0.060257925419136875,True
outage_replay_wgan,6,edge2,intersection_19,False,16,0,16,0.17531738011166453,True
outage_replay_wgan,6,edge2,intersection_20,False,16,0,16,0.00020628748461604118,True
outage_replay_wgan,7,edge0,intersection_00,False,16,0,16,0.17760529019869864,True
outage_replay_wgan,7,edge0,intersection_01,False,16,0,16,0.059699122328311205,True
outage_replay_wgan,7,edge0,intersection_02,False,16,0,16,0.1769315751735121,True
outage_replay_wgan,7,edge0,intersection_03,False,16,0,16,0.10245760693214834,True
outage_replay_wgan,7,edge0,intersection_04,False,16,0,16,0.07344710081815718,True
outage_replay_wgan,7,edge0,intersection_05,False,16,0,16,0.064181785332039,True
outage_replay_wgan,7,edge0,intersection_06,False,16,0,16,0.11979978915769607,True
outage_replay_wgan,7,edge1,intersection_07,False,16,0,16,0.22568251239135861,True
outage_replay_wgan,7,edge1,intersection_08,False,16,0,16,0.06021963665261864,True
outage_replay_wgan,7,edge1,intersection_09,False,16,0,16,0.17815498914569616,True
outage_replay_wgan,7,edge1,intersection_10,False,16,0,16,0.11752036050893366,True
outage_replay_wgan,7,edge1,intersection_11,False,16,0,16,0.18694782257080078,True
outage_replay_wgan,7,edge1,intersection_12,False,16,0,16,0.0595465237274766,True
outage_replay_wgan,7,edge1,intersection_13,False,16,0,16,0.00025010760873556137,True
outage_replay_wgan,7,edge2,intersection_14,False,16,0,16,0.11974683427251875,True
outage_replay_wgan,7,edge2,intersection_15,False,16,0,16,0.17428016243502498,True
outage_replay_wgan,7,edge2,intersection_16,False,16,0,16,0.002985164988785982,True
outage_replay_wgan,7,edge2,intersection_17,False,16,0,16,0.11829541972838342,True
outage_replay_wgan,7,edge2,intersection_18,False,16,0,16,0.12011552369222045,True
outage_replay_wgan,7,edge2,intersection_19,False,16,0,16,0.11939688352867961,True
outage_replay_wgan,7,edge2,intersection_20,False,16,0,16,0.11750420718453825,True
outage_replay_wgan,8,edge0,intersection_00,False,16,0,16,0.11789565114304423,True
outage_replay_wgan,8,edge0,intersection_01,False,16,0,16,0.057457544375210994,True
outage_replay_wgan,8,edge0,intersection_02,False,16,0,16,0.17605466907843947,True
outage_replay_wgan,8,edge0,intersection_03,False,16,0,16,0.0002333379816263914,True
outage_replay_wgan,8,edge0,intersection_04,False,16,0,16,0.1781368216034025,True
outage_replay_wgan,8,edge0,intersection_05,False,16,0,16,0.17502196202985942,True
outage_replay_wgan,8,edge0,intersection_06,False,16,0,16,0.17724180780351162,True
outage_replay_wgan,8,edge1,intersection_07,False,16,0,16,0.11942742043174803,True
outage_replay_wgan,8,edge1,intersection_08,False,16,0,16,0.05950049567036331,True
outage_replay_wgan,8,edge1,intersection_09,False,16,0,16,0.060245300875976675,True
outage_replay_wgan,8,edge1,intersection_10,False,16,0,16,0.07021253160201013,True
outage_replay_wgan,8,edge1,intersection_11,False,16,0,16,0.16544455755501986,True
outage_replay_wgan,8,edge1,intersection_12,False,16,0,16,0.25993858580477536,True
outage_replay_wgan,8,edge1,intersection_13,False,16,0,16,0.00020280643366277218,True
outage_replay_wgan,8,edge2,intersection_14,False,16,0,16,0.07813570322468877,True
outage_replay_wgan,8,edge2,intersection_15,False,16,0,16,0.08733624964952469,True
outage_replay_wgan,8,edge2,intersection_16,False,16,0,16,0.34288694290444255,True
outage_replay_wgan,8,edge2,intersection_17,False,16,0,16,0.13623362104408443,True
outage_replay_wgan,8,edge2,intersection_18,False,16,0,16,0.05759259616024792,True
outage_replay_wgan,8,edge2,intersection_19,False,16,0,16,0.15165604534558952,True
outage_replay_wgan,8,edge2,intersection_20,False,16,0,16,0.06027881568297743,True
outage_replay_wgan,9,edge0,intersection_00,False,16,0,16,0.1608617608435452,True
outage_replay_wgan,9,edge0,intersection_01,False,16,0,16,0.11846808670088649,True
outage_replay_wgan,9,edge0,intersection_02,False,16,0,16,0.0002280606422573328,True
outage_replay_wgan,9,edge0,intersection_03,False,16,0,16,0.0003478877479210496,True
outage_replay_wgan,9,edge0,intersection_04,False,16,0,16,0.11943772016093135,True
outage_replay_wgan,9,edge0,intersection_05,False,16,0,16,0.12009937479160726,True
outage_replay_wgan,9,edge0,intersection_06,False,16,0,16,0.1155257700011134,True
outage_replay_wgan,9,edge1,intersection_07,False,16,0,16,0.17753953719511628,True
outage_replay_wgan,9,edge1,intersection_08,False,16,0,16,0.05907993041910231,True
outage_replay_wgan,9,edge1,intersection_09,False,16,0,16,0.07891201809979975,True
outage_replay_wgan,9,edge1,intersection_10,False,16,0,16,0.05842289258725941,True
outage_replay_wgan,9,edge1,intersection_11,False,16,0,16,0.00020882370881736279,True
outage_replay_wgan,9,edge1,intersection_12,False,16,0,16,0.11927400366403162,True
outage_replay_wgan,9,edge1,intersection_13,False,16,0,16,0.12000995059497654,True
outage_replay_wgan,9,edge2,intersection_14,False,16,0,16,0.23815400409512222,True
outage_replay_wgan,9,edge2,intersection_15,False,16,0,16,0.11657059099525213,True
outage_replay_wgan,9,edge2,intersection_16,False,16,0,16,0.0001412462443113327,True
outage_replay_wgan,9,edge2,intersection_17,False,16,0,16,0.0001581166870892048,True
outage_replay_wgan,9,edge2,intersection_18,False,16,0,16,0.2377460398711264,True
outage_replay_wgan,9,edge2,intersection_19,False,16,0,16,0.00024563074111938477,True
outage_replay_wgan,9,edge2,intersection_20,False,16,0,16,0.059655895922332995,True
outage_replay_wgan,10,edge0,intersection_00,False,16,0,16,0.1333877914585173,True
outage_replay_wgan,10,edge0,intersection_01,False,16,0,16,0.00019477051682770252,True
outage_replay_wgan,10,edge0,intersection_02,False,16,0,16,0.01944883493706584,True
outage_replay_wgan,10,edge0,intersection_03,False,16,0,16,0.12026408943347631,True
outage_replay_wgan,10,edge0,intersection_04,False,16,0,16,0.0002673680428415537,True
outage_replay_wgan,10,edge0,intersection_05,False,16,0,16,0.11922001047059894,True
outage_replay_wgan,10,edge0,intersection_06,False,16,0,16,0.346165286609903,True
outage_replay_wgan,10,edge1,intersection_07,False,16,0,16,0.07019604882225394,True
outage_replay_wgan,10,edge1,intersection_08,False,16,0,16,0.17664478393271565,True
outage_replay_wgan,10,edge1,intersection_09,False,16,0,16,0.10216364497318862,True
outage_replay_wgan,10,edge1,intersection_10,False,16,0,16,0.0002096397802233696,True
outage_replay_wgan,10,edge1,intersection_11,False,16,0,16,0.11943430686369538,True
outage_replay_wgan,10,edge1,intersection_12,False,16,0,16,0.1189130877610296,True
outage_replay_wgan,10,edge1,intersection_13,False,16,0,16,0.00018020649440586567,True
outage_replay_wgan,10,edge2,intersection_14,False,16,0,16,0.059361340012401335,True
outage_replay_wgan,10,edge2,intersection_15,False,16,0,16,0.10796201508492231,True
outage_replay_wgan,10,edge2,intersection_16,False,16,0,16,0.059688170440495014,True
outage_replay_wgan,10,edge2,intersection_17,False,16,0,16,0.06001917319372296,True
outage_replay_wgan,10,edge2,intersection_18,False,16,0,16,0.05947358510456979,True
outage_replay_wgan,10,edge2,intersection_19,False,16,0,16,0.06003909441642463,True
outage_replay_wgan,10,edge2,intersection_20,False,16,0,16,0.058309777639806264,True
outage_replay_wgan,11,edge0,intersection_00,False,16,0,16,0.05549228121526539,True
outage_replay_wgan,11,edge0,intersection_01,False,16,0,16,0.05979556776583195,True
outage_replay_wgan,11,edge0,intersection_02,False,16,0,16,0.2368903944734484,True
outage_replay_wgan,11,edge0,intersection_03,False,16,0,16,0.19422649359330535,True
outage_replay_wgan,11,edge0,intersection_04,False,16,0,16,0.05922346538864076,True
outage_replay_wgan,11,edge0,intersection_05,False,16,0,16,0.08316379529424012,True
outage_replay_wgan,11,edge0,intersection_06,False,16,0,16,0.060255554271861904,True
outage_replay_wgan,11,edge1,intersection_07,False,16,0,16,0.056985965464264154,True
outage_replay_wgan,11,edge1,intersection_08,False,16,0,16,0.2392810198944062,True
outage_replay_wgan,11,edge1,intersection_09,False,16,0,16,0.10775023116730154,True
outage_replay_wgan,11,edge1,intersection_10,False,16,0,16,0.060378038790076964,True
outage_replay_wgan,11,edge1,intersection_11,False,16,0,16,0.06028389348648488,True
outage_replay_wgan,11,edge1,intersection_12,False,16,0,16,0.059670118615031235,True
outage_replay_wgan,11,edge1,intersection_13,False,16,0,16,0.11870098486542702,True
outage_replay_wgan,11,edge2,intersection_14,False,16,0,16,0.0002510084304958582,True
outage_replay_wgan,11,edge2,intersection_15,False,16,0,16,0.12830439303070307,True
outage_replay_wgan,11,edge2,intersection_16,False,16,0,16,0.15785873658023775,True
