scenario,round,edge_id,samples_received,samples_trained,live_samples,fallback_samples,train_loss_avg,compute_time,queue_fill_seconds_avg,queue_fill_seconds_max,queue_fill_complete_sensors,sensor_count,replay_buffer_size
outage_no_fallback,38,edge0,96,256,96,0,0.9318767338991165,0.3420870304107666,0.054949766995074846,0.12989842775277793,6,7,3952
outage_no_fallback,38,edge1,112,256,112,0,1.0990132465958595,0.3501243591308594,0.09014245205824929,0.2917846296913922,7,7,4256
outage_no_fallback,38,edge2,112,256,112,0,0.7239955812692642,0.488750696182251,0.07719097316398152,0.22148226690478623,7,7,4256
outage_no_fallback,39,edge0,96,256,96,0,0.745073065161705,0.34897541999816895,0.09454890144600843,0.17738974513486028,6,7,4048
outage_no_fallback,39,edge1,112,256,112,0,2.4218140244483948,0.34795284271240234,0.11797972598911396,0.23758368170820177,7,7,4368
outage_no_fallback,39,edge2,112,256,112,0,1.0740634053945541,0.3604097366333008,0.048407997021318545,0.11986103479284793,7,7,4368
outage_no_fallback,40,edge0,96,256,96,0,0.7451564073562622,0.33737754821777344,0.07475037170418848,0.1779171002563089,6,7,4144
outage_no_fallback,40,edge1,112,256,112,0,1.9776796996593475,0.3518352508544922,0.06957002147100866,0.11835205415263772,7,7,4480
outage_no_fallback,40,edge2,112,256,112,0,1.0227584689855576,0.34897756576538086,0.09527427257437791,0.17849908908829093,7,7,4480
outage_no_fallback,41,edge0,96,256,96,0,1.775440439581871,0.33312368392944336,0.07899936940521002,0.23667411576025188,6,7,4240
outage_no_fallback,41,edge1,112,256,112,0,1.7794309183955193,0.3506429195404053,0.10836242847809834,0.17492842534556982,7,7,4592
outage_no_fallback,41,edge2,112,256,112,0,1.0440604984760284,0.3452432155609131,0.12240133224986494,0.1789593887515366,7,7,4592
outage_no_fallback,42,edge0,96,256,96,0,3.6213135570287704,0.3306267261505127,0.08283034902221213,0.11933223577216268,6,7,4336
outage_no_fallback,42,edge1,112,256,112,0,0.7599254697561264,0.34473514556884766,0.11725173787479955,0.2238109102472663,7,7,4704
outage_no_fallback,42,edge2,112,256,112,0,1.414428099989891,0.34862804412841797,0.1217940356249788,0.2384787171613425,7,7,4704
outage_no_fallback,43,edge0,96,256,96,0,0.8142356276512146,0.3502941131591797,0.08591421755651633,0.17518673092126846,6,7,4432
outage_no_fallback,43,edge1,112,256,112,0,0.7201479896903038,0.45157599449157715,0.05958032253797033,0.11774326453451067,7,7,4816
outage_no_fallback,43,edge2,112,256,112,0,1.0096479468047619,0.35970163345336914,0.09583669385340597,0.23883070657029748,7,7,4816
outage_no_fallback,44,edge0,96,256,96,0,1.1840935051441193,0.35405778884887695,0.14213116587294886,0.2384547833353281,6,7,4528
outage_no_fallback,44,edge1,112,256,112,0,1.3037793412804604,0.3607959747314453,0.07182646605984441,0.2363298824056983,7,7,4928
